game,window,gap_s,prev_time,prev_price,prev_ticker,curr_time,curr_price,curr_ticker
2025-Christmas-MIN-DEN,close_game(35-65c),37.7,2025-12-25 16:38:16.825562+00:00,0.5500,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-25 16:38:54.575039+00:00,0.4700,KXNBAGAME-25DEC25MINDEN-MIN
2025-Christmas-MIN-DEN,close_game(35-65c),37.7,2025-12-25 22:24:19.281589+00:00,0.4900,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 22:24:56.968772+00:00,0.4900,KXNBAGAME-25DEC25MINDEN-MIN
2025-Christmas-MIN-DEN,close_game(35-65c),37.6,2025-12-24 05:20:30.055367+00:00,0.6200,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-24 05:21:07.642490+00:00,0.4000,KXNBAGAME-25DEC25MINDEN-MIN
2025-Christmas-MIN-DEN,close_game(35-65c),37.6,2025-12-24 22:46:04.099251+00:00,0.4300,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-24 22:46:41.686853+00:00,0.4300,KXNBAGAME-25DEC25MINDEN-MIN
2025-Christmas-MIN-DEN,close_game(35-65c),37.6,2025-12-25 22:07:13.280533+00:00,0.5300,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-25 22:07:50.877903+00:00,0.4800,KXNBAGAME-25DEC25MINDEN-MIN
2025-Christmas-MIN-DEN,close_game(35-65c),37.6,2025-12-24 05:32:07.446454+00:00,0.4000,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-24 05:32:45.004661+00:00,0.6200,KXNBAGAME-25DEC25MINDEN-DEN
2025-Finals-G7-OKC-IND,close_game(35-65c),37.6,2025-06-17 14:34:49.310607+00:00,0.6400,KXNBAGAME-25JUN19OKCIND-OKC,2025-06-17 14:35:26.952639+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND
2026-Regular-DEN-OKC,close_game(35-65c),37.6,2026-02-26 15:07:06.848396+00:00,0.6300,KXNBAGAME-26FEB27DENOKC-OKC,2026-02-26 15:07:44.406295+00:00,0.4000,KXNBAGAME-26FEB27DENOKC-DEN
2025-Christmas-MIN-DEN,close_game(35-65c),37.6,2025-12-25 16:38:56.312819+00:00,0.4700,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-25 16:39:33.904963+00:00,0.4600,KXNBAGAME-25DEC25MINDEN-MIN
2026-Playoffs-GSW-LAC,close_game(35-65c),37.6,2026-04-15 13:20:01.178837+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-15 13:20:38.782893+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW
